"Post_title","Poster_username","Content","Stars","Commentary","Commentary_username","keyword","category"
"Les bases de la mode chic","User123","Guide pour un style élégant","5","Excellent tutoriel !","Fashionista001","mode chic","fashion and beauty"
"Les recettes de grand-mère","ChefPierre","Découvrez les secrets de la cuisine traditionnelle","4","Très bon contenu, merci !","FoodLover88","recettes traditionnelles","food and cooking"
"Les meilleurs mangas de 2024","AnimeFan21","Une sélection des mangas incontournables de cette année","5","Super liste, j'adore !","MangaLover77","meilleurs mangas","manga and anime"
"Créer votre propre Webtoon","WebtoonArtist","Conseils et astuces pour les débutants","3","Bonnes infos mais pourrait être plus détaillé","ArtistAlly","création Webtoon","manhwa Webtoon and fanfiction"
"La mode durable","GreenFashionista","Comment adopter une garde-robe éthique","4","Inspirant et informatif, merci !","EcoChic","mode éthique","fashion and beauty"
"Cuisine rapide pour les gourmands","QuickCook","Recettes faciles pour les journées chargées","4","Pratique et rapide, bien joué","BusyBee","cuisine rapide","food and cooking"
"Les classiques de l'anime","OtakuMaster","Une plongée dans les animes incontournables","5","Merci pour les recommandations !","AnimeAddict","animes classiques","manga and anime"
"Écrire une fanfiction captivante","FanficWriter","Astuces pour captiver vos lecteurs dès le début","3","Pas mal, j'ai appris quelques trucs","StoryLover","fanfiction captivante","manhwa Webtoon and fanfiction"
"Tendances maquillage 2024","MakeupGuru","Les looks à ne pas manquer cette année","5","J'adore les conseils !","BeautyQueen","tendances maquillage","fashion and beauty"
"Dessiner des personnages de Webtoon","SketchArtist","Tutoriel sur les techniques de dessin","4","Bien expliqué et facile à suivre","ArtLover101","dessin de personnages","manhwa Webtoon and fanfiction"
"Les tendances de la mode printemps","StyleExpert","Tout ce qu'il faut savoir pour être à la mode ce printemps","4","Contenu très utile et inspirant","TrendyChic","tendances printemps","fashion and beauty"
"Délices italiens à la maison","HomeChef","Découvrez comment préparer des plats italiens authentiques","5","Délicieux et bien expliqué","FoodFanatic","cuisine italienne","food and cooking"
"Les nouveaux animes à ne pas manquer","OtakuGirl","Revue des animes les plus attendus de cette saison","5","Super sélection, merci !","AnimeFanatic","animes à venir","manga and anime"
"Créer des histoires captivantes","FanFictionMaster","Astuces pour écrire des récits engageants","3","Bonnes idées mais trop basiques","Writer101","écriture de récits","manhwa Webtoon and fanfiction"
